Species_Name,Year,Number
Common Sandpiper,1990,268
Common Sandpiper,1991,305
Common Sandpiper,1992,251
Common Sandpiper,1993,191
Common Sandpiper,1994,182
Common Sandpiper,1995,175
Common Sandpiper,1996,237
Common Sandpiper,1997,200
Common Sandpiper,1998,598
Common Sandpiper,1999,1274
Common Sandpiper,2000,1186
Common Sandpiper,2001,1195
Common Sandpiper,2002,702
Common Sandpiper,2003,527
Common Sandpiper,2004,588
Common Sandpiper,2005,478
Common Sandpiper,2006,495
Common Sandpiper,2007,612
Common Sandpiper,2008,500
Common Sandpiper,2009,491
Common Sandpiper,2010,556
Common Sandpiper,2011,640
Common Sandpiper,2012,592
Common Sandpiper,2013,772
Common Sandpiper,2014,980
Common Sandpiper,2015,1405
Common Sandpiper,2016,1755
Common Sandpiper,2017,1782
Common Sandpiper,2018,2330
Common Sandpiper,2019,2611
Common Sandpiper,2020,2032
Common Sandpiper,2021,2578
Bar-Tailed Godwit,1990,646
Bar-Tailed Godwit,1991,1117
Bar-Tailed Godwit,1992,1527
Bar-Tailed Godwit,1993,1638
Bar-Tailed Godwit,1994,1184
Bar-Tailed Godwit,1995,583
Bar-Tailed Godwit,1996,937
Bar-Tailed Godwit,1997,653
Bar-Tailed Godwit,1998,985
Bar-Tailed Godwit,1999,2487
Bar-Tailed Godwit,2000,2318
Bar-Tailed Godwit,2001,1852
Bar-Tailed Godwit,2002,1057
Bar-Tailed Godwit,2003,1018
Bar-Tailed Godwit,2004,1238
Bar-Tailed Godwit,2005,1147
Bar-Tailed Godwit,2006,1215
Bar-Tailed Godwit,2007,1637
Bar-Tailed Godwit,2008,1501
Bar-Tailed Godwit,2009,1795
Bar-Tailed Godwit,2010,1909
Bar-Tailed Godwit,2011,1845
Bar-Tailed Godwit,2012,1766
Bar-Tailed Godwit,2013,2533
Bar-Tailed Godwit,2014,2874
Bar-Tailed Godwit,2015,3088
Bar-Tailed Godwit,2016,3967
Bar-Tailed Godwit,2017,4429
Bar-Tailed Godwit,2018,5604
Bar-Tailed Godwit,2019,5619
Bar-Tailed Godwit,2020,5943
Bar-Tailed Godwit,2021,7086
Channel-Billed Cuckoo,1990,402
Channel-Billed Cuckoo,1991,340
Channel-Billed Cuckoo,1992,738
Channel-Billed Cuckoo,1993,658
Channel-Billed Cuckoo,1994,546
Channel-Billed Cuckoo,1995,501
Channel-Billed Cuckoo,1996,511
