SpeciesName,month,year,stateProvince,decimalLatitude,decimalLongitude
Sandpiper,3,1991,Victoria,-37.7787,149.0094
Sandpiper,12,1980,Victoria,-38.4151,142.418
Sandpiper,3,1999,Victoria,-38.3532,141.6017
Sandpiper,12,1980,Victoria,-38.0818,145.0846
Sandpiper,9,2018,Victoria,-38.4019,142.475
Sandpiper,,,Victoria,-35.5818,143.7513
Sandpiper,12,1985,Victoria,-38.2068,145.3763
Sandpiper,12,1998,Victoria,-38.3532,141.6017
Sandpiper,12,1977,Victoria,-38.4152,142.2513
Sandpiper,12,1977,Victoria,-38.4151,142.418
Sandpiper,9,1999,Victoria,-38.3532,141.6017
Sandpiper,12,1998,Victoria,-38.4005,142.4701
Sandpiper,,,Victoria,-38.4151,144.2513
Sandpiper,9,1998,Victoria,-38.3649,141.6017
Sandpiper,12,1978,Victoria,-38.4984,145.3346
Sandpiper,9,2000,Victoria,-38.3532,141.6017
Sandpiper,12,1979,Victoria,-38.4152,142.2513
Sandpiper,,,Victoria,-35.6651,143.8346
Sandpiper,,,Victoria,-35.5818,143.7513
Sandpiper,,,Victoria,-38.0651,147.7679
Sandpiper,12,1992,Victoria,-38.2068,145.3763
Sandpiper,3,1977,Victoria,-38.4152,142.2513
Sandpiper,9,2000,Victoria,-38.2601,144.4885
Sandpiper,12,1999,Victoria,-38.3532,141.6017
Sandpiper,12,1980,Victoria,-38.4152,142.2513
Sandpiper,12,2000,Victoria,-37.8564,144.8523
Sandpiper,12,1977,Victoria,-38.4152,142.2513
Sandpiper,9,2017,Victoria,-38.561,142.0944
Sandpiper,3,2002,Victoria,-38.0437,141.0067
Sandpiper,3,2018,Victoria,-37.9979,144.5917
Sandpiper,12,1998,Victoria,-38.2601,144.4885
Sandpiper,12,2017,Victoria,-37.9028,144.7793
Sandpiper,3,1977,Victoria,-38.0818,145.0846
Sandpiper,12,1975,Victoria,-38.4214,145.3488
Sandpiper,12,1978,Victoria,-38.0818,145.0846
Sandpiper,12,1975,Victoria,-37.6651,150.0012
Sandpiper,3,2017,Victoria,-36.5156,142.9389
Sandpiper,12,1998,Victoria,-37.8592,144.8556
Sandpiper,9,1977,Victoria,-38.4151,142.418
Sandpiper,3,1978,Victoria,-38.0818,145.0846
Sandpiper,12,1977,Victoria,-38.0818,145.0846
Sandpiper,,,Victoria,-38.4151,145.4179
Sandpiper,9,2017,Victoria,-37.8795,144.8037
Sandpiper,9,1978,Victoria,-38.4151,142.5847
Sandpiper,9,2014,Victoria,-37.9954,144.6307
Sandpiper,12,1981,Victoria,-37.7484,144.9179
Sandpiper,12,2017,Victoria,-38.561,142.0944
Sandpiper,3,1981,Victoria,-38.4152,142.2513
Sandpiper,3,2015,Victoria,-38.0348,141.0012
Sandpiper,3,2001,Victoria,-37.9832,144.6482
Sandpiper,12,2018,Victoria,-38.561,142.0944
Sandpiper,3,1999,Victoria,-38.0537,141.011
Sandpiper,9,1990,Victoria,-38.381,145.2959
Sandpiper,12,1991,Victoria,-38.0482,147.452
Sandpiper,3,2014,Victoria,-38.2732,144.5938
Sandpiper,12,2017,Victoria,-38.561,142.0944
Sandpiper,9,2017,Victoria,-38.3808,142.2405
Sandpiper,3,2007,Victoria,-38.5069,145.1588
Sandpiper,9,2006,Victoria,-38.6641,145.7013
Sandpiper,12,1986,Victoria,-38.8558,145.9934
Sandpiper,12,1991,Victoria,-38.0482,147.452
Sandpiper,3,2001,Victoria,-38.0537,141.011
Sandpiper,9,1987,Victoria,-38.0401,144.543
Sandpiper,12,2018,Victoria,-37.9979,144.5917
Sandpiper,12,1978,Victoria,-38.4151,142.418
Sandpiper,,,Victoria,-34.7485,142.4179
Sandpiper,3,1999,Victoria,-38.0555,140.9951
Sandpiper,9,2018,Victoria,-38.3885,142.2411
Sandpiper,12,1991,Victoria,-38.0482,147.452
Sandpiper,12,2018,Victoria,-37.9028,144.7793
Sandpiper,9,2001,Victoria,-38.6564,145.7778
Sandpiper,3,1978,New South Wales,-36.0818,146.9179
Sandpiper,12,1978,Victoria,-38.4984,145.3346
Sandpiper,3,1998,Victoria,-38.3402,142.0597
Sandpiper,3,1990,Victoria,-37.754,144.5897
Sandpiper,3,1988,Victoria,-38.1528,144.4209
Sandpiper,3,1977,Victoria,-38.4152,142.2513
Sandpiper,12,1979,Victoria,-38.0818,145.0846
Sandpiper,9,2007,Victoria,-38.6564,145.7778
Sandpiper,,,Victoria,-35.5818,143.7513
Sandpiper,9,2017,Victoria,-38.3565,142.3109
Sandpiper,3,1981,Victoria,-38.0818,144.5846
Sandpiper,3,1979,Victoria,-38.4152,142.2513
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,12,1978,Victoria,-38.4152,142.2513
Sandpiper,9,2006,Victoria,-37.9619,144.633
Sandpiper,12,1977,Victoria,-38.4152,142.2513
Sandpiper,,,Victoria,-38.319,145.1887
Sandpiper,3,1977,Victoria,-38.6401,146.7263
Sandpiper,3,1995,Victoria,-37.9849,144.6447
Sandpiper,12,1973,Victoria,-38.3056,145.1948
Sandpiper,12,1949,Victoria,-38.0437,141.0067
Sandpiper,,,Victoria,-38.3607,145.21
Sandpiper,9,1977,Victoria,-38.2068,145.3763
Sandpiper,12,2018,Victoria,-38.561,142.0944
Sandpiper,,,Victoria,-38.4151,145.4179
Sandpiper,12,2018,Victoria,-38.3802,142.2414
Sandpiper,3,1999,Victoria,-38.4029,142.5629
Sandpiper,3,1990,Victoria,-38.0656,144.4085
Sandpiper,12,2000,Victoria,-37.9817,144.6619
Sandpiper,3,1979,Victoria,-37.9151,145.2513
Sandpiper,3,1978,Victoria,-38.4151,142.418
Sandpiper,12,1995,Victoria,-37.9998,144.4108
Sandpiper,12,1999,Victoria,-38.3815,142.235
Sandpiper,12,1978,Victoria,-37.7485,142.2513
Sandpiper,12,1979,Victoria,-38.2485,144.5846
Sandpiper,3,2009,Victoria,-38.0956,141.086
Sandpiper,,,Victoria,-37.9985,144.8346
Sandpiper,3,1998,Victoria,-38.3897,142.2329
Sandpiper,,,Victoria,-38.0651,147.7679
Sandpiper,9,2005,Victoria,-38.0651,145.1679
Sandpiper,3,1977,Victoria,-37.9151,145.0846
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,3,1997,Victoria,-38.3945,142.202
Sandpiper,12,1977,Victoria,-37.9151,145.0846
Sandpiper,12,1981,Victoria,-38.2068,145.3763
Sandpiper,12,2006,Victoria,-38.3257,145.1896
Sandpiper,3,2017,Victoria,-37.4399,144.9981
